YearMonth,Regime,EqualWeight_Return,ESGWeighted_Return,Momentum_Return,Blend_Return,N_stocks,EqualWeight_Cumulative,ESGWeighted_Cumulative,Momentum_Cumulative,Blend_Cumulative
2024-01,AI bull run,0.04564296410558466,0.023338056284657398,0.0664213346188747,0.022010472584424904,477,1.0456429641055847,1.0233380562846575,1.0664213346188747,1.022010472584425
2024-02,AI bull run,0.04486674069252171,0.03307645635428654,0.09556398750443829,0.015325011453584399,477,1.0925575558330696,1.0571864528390373,1.1683328097148593,1.0376727947824644
2024-03,AI bull run,-0.04521171596660988,-0.08702647794348277,-0.07347422609939319,-0.06644482152783096,477,1.0431611539415713,0.9651832393188922,1.0824904606945303,0.968724811128858
2024-04,AI bull run,0.029777023738146027,0.029793336872554668,0.04375107387369036,0.046726624397599274,477,1.0742233883852013,0.9939392687116635,1.1298505808079418,1.0139900515231115
2024-05,AI bull run,-0.0002302349460569194,-0.010550666796110532,0.018641681354371914,-0.015005445670228535,477,1.0739760646213234,0.983452546671917,1.1509128953134156,0.9987746788948292
2024-06,AI bull run,0.04460003117874866,0.09945593494602163,0.01747771511466711,0.047352341648920396,477,1.1218754305886642,1.0812627391762184,1.1710282230195,1.046068998720148
2024-07,AI bull run,0.025551823755195307,-0.009552371005962956,-0.040699676846522884,0.04526139347819184,477,1.1505413938663496,1.0709341163366835,1.1233677527644483,1.0934155392765585
2024-08,AI bull run,0.023627447163302,-0.005472803250564903,-0.01245733524443196,0.022073616711267476,477,1.1777257498591185,1.0650731046236552,1.1093735840654775,1.117551174796693
2024-09,AI bull run,-0.013305735270699063,-0.004027849693295524,-0.09240733760551333,-0.033236873290934964,477,1.1620552428100075,1.0607831502458596,1.0068593247521005,1.08040726800384
2024-10,AI bull run,0.06731303328477285,0.05577601732940447,0.006667812987388759,0.0646326046558899,477,1.2402767060480224,1.1199494096167129,1.013572874434156,1.150236803824082
2024-11,AI bull run,-0.06343405238385383,-0.07282198793172334,-0.021663009556144433,-0.053063524367332936,477,1.1616009285060986,1.0383924672254639,0.99161583556944,1.0892011851561596
2024-12,AI bull run,0.03564908213854232,0.05894838877579224,0.04288272089245715,0.0365529288192645,477,1.2030109354186194,1.0996040300853245,1.034139020678705,1.1290146785470312
2025-01,current,-0.008079616068621797,-0.0185448255556764,0.012080797072043032,-0.025526633972093524,477,1.1932910689340832,1.0792120651670734,1.0466322443318057,1.1001947340986402
2025-02,current,-0.038870144232859956,-0.017554597993136287,-0.1302274386987513,-0.07344353308720372,477,1.1469076729728318,1.060266931213723,0.910332007892949,1.0193925457424995
2025-03,current,-0.02144583669500783,0.02459357637755221,-0.02514775071310999,0.005476025421699203,477,1.122311278314005,1.0863426869671204,0.8874392054922922,1.0249747652376762
2025-04,current,0.04391815460151482,0.08001907430872901,0.07638619424544967,-0.04298893495869826,477,1.1716011185460231,1.1732708231602869,0.9552273090240538,0.9809121917205667
2025-05,current,0.03566285992598359,0.01622197877498849,0.10406559928614473,0.007683430555172473,477,1.2133837651258557,1.1923035975509062,1.0546336113921335,0.9884489624263737
2025-06,current,0.014887842902386195,0.003812028351196127,0.06802296971784029,0.024361993404162122,477,1.2314484320013552,1.1968486926680035,1.1263729216032772,1.0125295495293558
2025-07,current,0.029147928184074648,0.004753678496504478,0.085741504687866,0.02754518151398639,477,1.267342602459722,1.202538126561909,1.2229498307412099,1.0404198597594168
2025-08,current,0.010204463528559589,-0.0013505270655025346,0.15453368953435181,0.03873444132859105,477,1.2802751538247121,1.2009140662746884,1.4119367802010603,1.080719941774369
2025-09,current,-0.009247081318590679,0.020768908444330773,-0.014019393243815275,-0.03360622690653528,477,1.268436345367124,1.2258557405666564,1.3921422832440151,1.044401022188682
2025-10,current,0.022268317303692095,0.04951521656579835,-0.027217451556513617,0.015434462025534557,477,1.2966822883852946,1.2865542530392415,1.3542517180900469,1.0605207901050828
2025-11,current,0.005778693206830713,-0.030239052672677215,0.006575826092379446,-0.01788627930193804,477,1.3041754175166045,1.247650071215331,1.363157041873513,1.0415520190477512
2025-12,current,0.033899806792111034,0.05927928819687568,0.01050916242969983,0.020161657764589995,477,1.348386712193438,1.3216098793557571,1.3774826806437508,1.0625514343998097
2026-01,current,0.03299904261031666,0.014917277869776938,-0.0728437284000104,0.005903591348331165,477,1.392882182764294,1.3413247011615494,1.2771417063792192,1.0688243038550893
2026-02,current,-0.06093810710150218,-0.09049295348968978,-0.06337980708199825,-0.06478448080685958,477,1.3080025791312295,1.2199442673647654,1.1961967114125303,0.9995810762560842
